¿Qué árbol se encuentra en la bandera del Libano?;Cedro;Laurel;Roble;1
"¿Quién era conocido como ""el Monje Loco""?";Charlie Goldsmith;Rasputín;Pedro Piquero;2
¿A qué deidad olímpica pertenecía el Jardín de las Hespérides?;Apolo;Hades;Hera;3
¿Qué es la luna?;Un asteroide;Una estrella;Un satélite natural;3
¿Sobre qué calendario nos regimos en Argentina?;Maradoniano;Gregoriano;Maya;2
"¿Quién es el creador de ""Tráeme la copa Messi""?";Chapu Braña;Chapu Nocioni;Chapu Martínez;3
"¿Cómo se llamaba el mono de Ross Geller en la serie de televisión ""Friends""?";Marcel;Matthew;Marcos;1
¿Cómo se llama la doctrina filosófica donde el universo, la naturaleza y dios son iguales?;Panlogismo;Panteísmo;Taolismo;2
¿De qué imperio fue capital Constantinopla?;Imperio Latino;Imperio Aqueménida;Imperio Aleman;1
¿Qué representa el color blanco en la bandera francesa?;La monarquía;La igualdad;La libertad;1
¿Dónde está ubicado el Monte Everest?;Cordillera Atlas;Cordillera de los Andes;Cordillera del Himalaya;3
¿En qué planeta nació Superman?;Krypton;Rann;Thanagar;1
¿En qué país nació Jorge Luis Borges?;Uruguay;Suiza;Argentina;3
¿A quién derrotó Carlos Menem en las internas del PJ en 1988?;Antonio Cafiero;Néstor Kirchner;Eduardo Fellner;1
¿Contra quién peleará Floyd Mayweather a fin de año?;Conor McGregor;Tenshin Nasukawa;Ninguno, está retirado;2
"¿Quién pintó el famoso cuadro ""Guernica""?";Diego Velázquez;Salvador Dali;Pablo Picasso;3
¿Cómo se llama un triángulo que tiene 2 lados iguales?;Equilatero;Isósceles;Escaleno;2
¿Quién fue el fundador de los Juegos Olímpicos modernos?;Dimitrios Wikelas;Thomas Bach;Pierre de Coubertin;3
¿Quién es el actual gobernador de San Juan?;Sergio Uñac;José Luis Gioja;Juan Manuel Urtubey;1
"¿Qué particularidad tiene la novela ""Rayuela"" de Cortázar?";Tiene solamente 5 páginas;Se puede leer de varias formas;No tiene un protagonista;2
"¿Qué compañía desarrolla la saga ""Assassin's Creed""?";Activision;Electronic Arts;Ubisoft;3
¿Cuál es la única palabra que contiene la partitura de la obra musical 4'33' de John Cage?;Tacet;Presto;Forte;1
¿Cuál es la capital de Argentina?;Buenos Aires;Cordoba;La Plata;1
¿Qué género musical es patrimonio cultural de la provincia de Córdoba?;Cuarteto;Rumba;Tango;1
¿Cómo es conocida la relación entre la longitud de una circunferencia y su diámetro?;Axioma;Número pi;Baricentro;2
"¿De qué país eran las imágenes utilizadas por el programa de televisión ""Supermatch""?";Inglaterra;Alemania;Australia;3
¿Cómo se le llamó a la venta de Alaska a EE.UU en 1867?;Ganga helada;Locura de Seward;Compra del año;2
¿Qué hecho histórico argentino ocurrió en 1953?;Revolución libertadora;Muerte de Eva Perón;Atentado de la Plaza de Mayo;3
¿Cuál fue la única obra que firmó Miguel Ángel Buonarroti?;El juicio final;La piedad;David;2
"¿Qué espera el protagonista de la novela ""El Coronel no tiene quien le escriba""?";Á su mujer;Maiz para mantener a su gato;Una pensión del ejercito;3
¿Cuál es el segundo nombre de Homero Simpson?;Jay;John;Jule;1
¿En qué país nació Iván de Pineda?;Argentina;España;Uruguay;2
¿Quién es el autor del Monumento al Ejército de Los Andes, ubicado en Mendoza?;Ángel Guido;Juan Manuel Ferrari;Agustín Querol;2
"¿De qué pais es originario el plato de comida llamado ""antipasto""?";Italia;Perú;Japón;1
"¿A qué ciudad de Estados Unidos se la conoce como ""La Ciudad de la Música""?";New Orleans;Memphis;Nashville;3
"¿A quién representa ""El pensador"", de Auguste Rodin?";Dante Alighieri;Miguel Ángel;Aristóteles;1
"¿El himno de qué pais dice ""Marchemos, hijos de la Patria, ha llegado el día de gloria!""?";Estados Unidos;Francia;España;2
En la canción de María Elena Walsh, ¿Dónde vivía la tortuga Manuelita?;Chivilcoy;Pehuajó;Don Torcuato;2
"En el mito ""el Juicio de Paris"", ¿Cuál fue la fruta de la discordia?";Manzana;Uva;Kiwi;1
¿Sobre qué superficie se juega el torneo de tenis Wimbledon?;Ladrillo;Cemento;Césped;3
¿Cuántas estrellas tiene la bandera de Brasil?;33;27;52;2
"¿Qué trae el plato de comida ""Ropa Vieja""?";Carne de vaca desmechada;Pollo deshuesado;Cerdo ahumado;1
¿A qué país pertenece Hawai?;Japón;Estados Unidos;Ninguno;2
¿A qué país mediterráneo pertenece la isla de Santorini?;Grecia;Italia;España;1
¿Cuál es la capital de Costa Rica?;San José;Santo Domingo;Managua;1
"¿Dónde se encuentra el ""Gran Agujero Azul""?";Belice;Antigua y Barbuda;Barbados;1
Según la mitología griega, ¿A qué isla llevó Poseidón a Córcira?;Rodas;Corfú;Mykonos;2
Según la famosa canción infantil, ¿A quién saluda Don Pepito?;A don Gato;A don José;A don Tito;2
¿Cuántos grados deben sumar dos ángulos suplementarios?;180°;45°;90°;1
¿Cómo se llama el Teletubbie violeta?;Laa-Laa;Po;Tinky Winky;3
¿Qué trópico se ubica en el hemisferio norte?;Trópico de Capricornio;Trópico de Cáncer;Trópico de Leo;2
"¿A qué constelación pertenece ""Shun"" en los Caballeros del Zodíaco?";Andrómeda;Félix;Dragón;1
"¿A quién se le atribuye la frase: ""Estos son mis principios, si no le gustan tengo otros""?";Oscar Wilde;Winston Churchill;Groucho Marx;3
"¿Qué presidente argentino decretó la celebración del ""Día de la raza""?";Domingo F. Sarmiento;Hipólito Yrigoyen;Julio A. Roca;2
¿Qué famoso deportista se negó a combatir en Vietnam?;George Foreman;Muhammad Ali;Rocky Marciano;2
¿Cuál es el apellido del músico conocido como Pappo?;Napolitano;Martínez;Mollo;1
¿De qué se ocupa un pomólogo?;Cosméticos;Frutas;Envases de cremas;2
¿En qué pueblo ficticio se desarrolla la novelística de Onetti?;Santa María;Macondo;Ciudad Esmeralda;1
¿Qué equipo salió campeón del Super Bowl LIII?;New England Patriots;Kansas City Chiefs;Los Angeles Rams;1
"¿Cuál es el apellido de Rick, personaje de ""Rick and Morty""?";Sánchez;Roiland;Smith;1
¿A quién le legó San Martín su sable corvo?;Mariano Balcarce;Bartolomé Mitre;Juan Manuel de Rosas;3
"¿Qué Papa intervino durante la ""Crisis de los Misiles de Cuba""?";Juan XXIII;Pío XII;Juan Pablo II;1
